Year,Month,Prefecture,Tourist (Japan)
2019,May,Chiba,2455865
2019,Jun,Chiba,2614533
2019,Jul,Chiba,2713329
2019,Aug,Chiba,2206746
2019,Sep,Chiba,1913105
2019,Oct,Chiba,2177382
2019,Nov,Chiba,2145425
2019,Dec,Chiba,2292029
2020,Jan,Chiba,2287755
2020,Feb,Chiba,898976
2020,Mar,Chiba,119645
2020,Apr,Chiba,776
2020,May,Chiba,108
2020,Jun,Chiba,226
2020,Jul,Chiba,418
2020,Aug,Chiba,482
2020,Sep,Chiba,497
2020,Oct,Chiba,760
2020,Nov,Chiba,1030
2020,Dec,Chiba,1557
2021,Jan,Chiba,547
2021,Feb,Chiba,266
2021,Mar,Chiba,374
2021,Apr,Chiba,740
2021,May,Chiba,1057
2021,Jun,Chiba,1657
2021,Jul,Chiba,42621
2021,Aug,Chiba,13304
2021,Sep,Chiba,1124
2021,Oct,Chiba,2287
2021,Nov,Chiba,1709
2021,Dec,Chiba,701
2022,Jan,Chiba,649
2022,Feb,Chiba,999
2022,Mar,Chiba,3371
2022,Apr,Chiba,6166
2022,May,Chiba,7308
2022,Jun,Chiba,12405
2022,Jul,Chiba,30315
2022,Aug,Chiba,31441
2022,Sep,Chiba,42108
2022,Oct,Chiba,326699
2022,Nov,Chiba,773983
2022,Dec,Chiba,1252391
2023,Jan,Chiba,1308606
2023,Feb,Chiba,1297458
2023,Mar,Chiba,1582518
2023,Apr,Chiba,1738172
2023,May,Chiba,1656118
2023,Jun,Chiba,1882296
2023,Jul,Chiba,2108438
2023,Aug,Chiba,1897129
2023,Sep,Chiba,1905162
2023,Oct,Chiba,2245892
2023,Nov,Chiba,2206883
2023,Dec,Chiba,2551290
2024,Jan,Chiba,2386640
2024,Feb,Chiba,2548085
2024,Mar,Chiba,2771105
2024,Apr,Chiba,2763384
2024,May,Chiba,2758219
2024,Jun,Chiba,2913631
2024,Jul,Chiba,3055187
2024,Aug,Chiba,2646445
2024,Sep,Chiba,2544751
2024,Oct,Chiba,3021710
2024,Nov,Chiba,2922383
2024,Dec,Chiba,3280013
